MuertesDiab;MuertesCanc;MuerteCard;MuertesOtras
4358;15;139;13683
3615;45;121;11482
2871;73;103;9279
2128;101;86;7078
1384;129;68;4875
1074;124;55;4081
761;118;43;3285
449;113;30;2488
136;108;15;1691
108;103;28;1586
78;96;38;1480
48;91;50;1374
18;85;60;1268
17;83;66;1260
16;80;71;1253
15;81;76;1245
18;84;81;1235
20;96;101;1354
21;111;121;1470
23;126;141;1586
25;139;161;1701
28;151;149;1651
28;164;136;1601
30;176;124;1550
30;187;108;1500
38;171;129;1573
43;156;146;1644
50;141;166;1714
55;124;184;1785
60;189;234;1943
66;252;282;2100
71;315;330;2259
76;378;378;2415
68;544;431;2559
60;711;484;2702
53;877;537;2846
45;1041;587;2987
50;1026;781;3312
55;1008;976;3637
60;993;1170;3963
63;976;1364;4288
76;1391;1497;4321
86;1807;1628;4351
98;2223;1759;4384
108;2637;1891;4414
118;2959;2203;4648
126;3279;2513;4880
136;3600;2826;5112
144;3920;3136;5344
194;4537;3733;5972
245;5155;4331;6599
295;5772;4928;7227
345;6388;5525;7855
340;6468;6256;8679
335;6549;6985;9503
330;6630;7716;10327
325;6710;8444;11149
401;6491;9281;11434
474;6272;10116;11716
547;6052;10953;11999
620;5830;11787;12281
577;6012;11411;13085
534;6193;11033;13889
492;6375;10658;14693
446;6554;10280;15495
592;6093;10885;15664
736;5631;11487;15833
880;5170;12089;16002
1023;4709;12692;16171
1059;4288;12717;16839
1094;3867;12742;17504
1129;3446;12768;18172
1162;3022;12790;18837
1197;2601;12815;19503
1233;2178;12838;20173
