Edad;Fallecimiento;Retiro;lx
0;18180;15;1000000
1;15218;45;981805
2;12253;73;966542
3;9292;101;954216
4;6327;129;944823
5;5210;124;938367
6;4089;118;933033
7;2967;113;928826
8;1842;108;925746
9;1722;103;923796
10;1596;96;921971
11;1472;91;920279
12;1346;85;918716
13;1343;83;917285
14;1340;80;915859
15;1336;81;914439
16;1334;84;913022
17;1475;96;911604
18;1612;111;910033
19;1750;126;908310
20;1887;139;906434
21;1828;151;904408
22;1765;164;902429
23;1704;176;900500
24;1638;187;898620
25;1740;171;896795
26;1833;156;894884
27;1930;141;892895
28;2024;124;890824
29;2237;189;888676
30;2448;252;886250
31;2660;315;883550
32;2869;378;880575
33;3058;544;877328
34;3246;711;873726
35;3436;877;869769
36;3619;1041;865456
37;4143;1026;860796
38;4668;1008;855627
39;5193;993;849951
40;5715;976;843765
41;5894;1391;837074
42;6065;1807;829789
43;6241;2223;821917
44;6413;2637;813453
45;6969;2959;804403
46;7519;3279;794475
47;8074;3600;783677
48;8624;3920;772003
49;9899;4537;759459
50;11175;5155;745023
51;12450;5772;728693
52;13725;6388;710471
53;15275;6468;690358
54;16823;6549;668615
55;18373;6630;645243
56;19918;6710;620240
57;21116;6491;593612
58;22306;6272;566005
59;23499;6052;537427
60;24688;5830;507876
61;25073;6012;477358
62;25456;6193;446273
63;25843;6375;414624
64;26221;6554;382406
65;33234;0;349631
66;33687;0;316397
67;34141;0;282710
68;34595;0;248569
69;34903;0;213974
70;35207;0;179071
71;35515;0;143864
72;35811;0;108349
73;36116;0;72538
74;36422;0;36422
